rank,symbol,news_count,status,date_range,processed_time
1,MSFT,12057,success,2021-01-01 to 2025-05-23,2025-05-29T09:02:51.460083
2,NVDA,11757,success,2021-01-01 to 2025-05-23,2025-05-29T09:03:28.866944
3,AAPL,12016,success,2021-01-01 to 2025-05-23,2025-05-29T09:04:04.778270
4,AMZN,11963,success,2021-01-01 to 2025-05-23,2025-05-29T09:04:41.671983
5,GOOG,12170,success,2021-01-01 to 2025-05-23,2025-05-29T09:05:17.750861
6,GOOGL,11996,success,2021-01-01 to 2025-05-23,2025-05-29T09:05:52.944028
7,META,8409,success,2021-01-01 to 2025-05-23,2025-05-29T09:06:26.885092
8,TSLA,11879,success,2021-01-01 to 2025-05-23,2025-05-29T09:07:04.344268
9,AVGO,9162,success,2021-01-01 to 2025-05-23,2025-05-29T09:07:38.321133
10,BRK.B,9154,success,2021-01-01 to 2025-05-23,2025-05-29T09:08:13.676868
11,WMT,11329,success,2021-01-01 to 2025-05-23,2025-05-29T09:08:52.143788
12,JPM,11200,success,2021-01-01 to 2025-05-23,2025-05-29T09:09:28.239266
13,V,9816,success,2021-01-01 to 2025-05-23,2025-05-29T09:10:02.804358
14,LLY,9925,success,2021-01-01 to 2025-05-23,2025-05-29T09:10:37.113897
15,MA,9641,success,2021-01-01 to 2025-05-23,2025-05-29T09:11:12.931662
16,NFLX,11348,success,2021-01-01 to 2025-05-23,2025-05-29T09:11:49.936515
17,ORCL,8328,success,2021-01-01 to 2025-05-23,2025-05-29T09:12:24.111106
18,COST,10091,success,2021-01-01 to 2025-05-23,2025-05-29T09:12:55.307982
19,XOM,10810,success,2021-01-01 to 2025-05-23,2025-05-29T09:13:28.477080
20,PG,7898,success,2021-01-01 to 2025-05-23,2025-05-29T09:13:59.783005
21,JNJ,10736,success,2021-01-01 to 2025-05-23,2025-05-29T09:14:37.947059
22,HD,9190,success,2021-01-01 to 2025-05-23,2025-05-29T09:15:12.395177
23,BAC,10536,success,2021-01-01 to 2025-05-23,2025-05-29T09:15:49.024695
24,ABBV,8831,success,2021-01-01 to 2025-05-23,2025-05-29T09:16:23.598094
25,KO,9648,success,2021-01-01 to 2025-05-23,2025-05-29T09:16:59.152181
26,PLTR,8932,success,2021-01-01 to 2025-05-23,2025-05-29T09:17:33.711727
27,PM,6219,success,2021-01-01 to 2025-05-23,2025-05-29T09:18:06.084930
28,TMUS,6992,success,2021-01-01 to 2025-05-23,2025-05-29T09:18:38.793949
29,UNH,9215,success,2021-01-01 to 2025-05-23,2025-05-29T09:19:14.674557
30,CRM,10176,success,2021-01-01 to 2025-05-23,2025-05-29T09:19:49.954598
31,GE,8810,success,2021-01-01 to 2025-05-23,2025-05-29T09:20:24.706758
32,CSCO,8758,success,2021-01-01 to 2025-05-23,2025-05-29T09:20:59.342490
33,IBM,9143,success,2021-01-01 to 2025-05-23,2025-05-29T09:21:34.199826
34,WFC,9171,success,2021-01-01 to 2025-05-23,2025-05-29T09:22:08.591141
35,CVX,10889,success,2021-01-01 to 2025-05-23,2025-05-29T09:22:44.119696
36,ABT,6539,success,2021-01-01 to 2025-05-23,2025-05-29T09:23:16.003299
37,MCD,9702,success,2021-01-01 to 2025-05-23,2025-05-29T09:23:50.580405
38,LIN,3037,success,2021-01-01 to 2025-05-23,2025-05-29T09:24:19.343932
39,NOW,5590,success,2021-01-01 to 2025-05-23,2025-05-29T09:24:51.143053
40,INTU,5075,success,2021-01-01 to 2025-05-23,2025-05-29T09:25:22.042039
41,AXP,8105,success,2021-01-01 to 2025-05-23,2025-05-29T09:25:58.565212
42,MS,9659,success,2021-01-01 to 2025-05-23,2025-05-29T09:26:31.902291
43,DIS,11234,success,2021-01-01 to 2025-05-23,2025-05-29T09:27:02.999640
44,T,10081,success,2021-01-01 to 2025-05-23,2025-05-29T09:27:37.285010
45,ISRG,4490,success,2021-01-01 to 2025-05-23,2025-05-29T09:28:06.309941
46,ACN,6814,success,2021-01-01 to 2025-05-23,2025-05-29T09:28:38.264875
