rank,symbol,news_count,status,date_range,processed_time
1,MSFT,12057,success,2021-01-01 to 2025-05-23,2025-05-29T08:47:06.306002
2,NVDA,11757,success,2021-01-01 to 2025-05-23,2025-05-29T08:47:45.272170
3,AAPL,12016,success,2021-01-01 to 2025-05-23,2025-05-29T08:48:21.099360
4,AMZN,11963,success,2021-01-01 to 2025-05-23,2025-05-29T08:48:56.662538
5,GOOG,12170,success,2021-01-01 to 2025-05-23,2025-05-29T08:49:31.985468
6,GOOGL,11996,success,2021-01-01 to 2025-05-23,2025-05-29T08:50:07.979752
7,META,8409,success,2021-01-01 to 2025-05-23,2025-05-29T08:50:40.628701
8,TSLA,11879,success,2021-01-01 to 2025-05-23,2025-05-29T08:51:16.391458
9,AVGO,9162,success,2021-01-01 to 2025-05-23,2025-05-29T08:51:48.816192
10,BRK.B,9154,success,2021-01-01 to 2025-05-23,2025-05-29T08:52:23.948412
